,Flow status,Flow date,Decision date,Amount (USD),Source Organization,Source Organization type,Source Location,Source Usage year,Source Field cluster,Source Sector,Destination Organization,Destination Usage year,Destination Organization type,Destination Location,Destination Field cluster,Destination Sector,New money,Last updated,Created,Earmarking,Budget year,Contribution type,Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
134303,Paid Contribution,12/07/2017,14/06/2017,9703,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Coordination and support services,Yes,08/08/2017,08/08/2017,,2017,financial,Standard,"United Arab Emirates, Government of",,,
134314,Paid Contribution,31/07/2017,,1200000,"Switzerland, Government of",Government: National government,Switzerland,2017,,,United Nations Population Fund,2017,UN agency,Yemen,Protection,Protection,Yes,28/09/2017,28/09/2017,,,financial,Standard,United Nations Population Fund,,,
134385,Paid Contribution,17/06/2017,17/06/2017,8400000,World Bank,Inter-governmental,,2017,,,World Health Organization,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,11/08/2017,11/08/2017,,,financial,Standard,World Health Organization,,,
134386,Paid Contribution,17/03/2017,17/03/2017,5000000,World Bank,Inter-governmental,,2017,,,World Health Organization,2017,UN agency,Yemen,Health,Health,Yes,11/08/2017,11/08/2017,,,financial,Standard,World Health Organization,,,
134410,Paid Contribution,12/05/2017,12/05/2017,500000,"Korea, Republic of, Government of",Government: National government,"Korea, Republic of",2017,,,International Committee of the Red Cross,2017,Red Cross/Red Crescent: International Society,Yemen,,,Yes,15/08/2017,14/08/2017,,,financial,Standard,"Korea, Republic of, Government of",,,
134479,Paid Contribution,01/05/2016,01/05/2016,3472377,"United Kingdom, Government of",Government: National government,United Kingdom,2016,,,United Nations Children's Fund,2017,UN agency,Yemen,WASH,Water Sanitation Hygiene,Yes,17/08/2017,17/08/2017,,2016,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
134480,Paid Contribution,01/05/2016,01/05/2016,1037203,"United Kingdom, Government of",Government: National government,United Kingdom,2016,,,United Nations Children's Fund,2017,UN agency,Yemen,Health,Health,Yes,17/08/2017,17/08/2017,,2016,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
134482,Paid Contribution,22/05/2017,22/05/2017,250000,"Korea, Republic of, Government of",Government: National government,"Korea, Republic of",2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Health,Health,Yes,17/08/2017,17/08/2017,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
134505,Paid Contribution,07/06/2017,,25773197,"United Kingdom, Government of",Government: National government,United Kingdom,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,24/08/2017,21/08/2017,,2017,financial,Standard,"United Kingdom, Government of",,,
134534,Paid Contribution,27/04/2017,17/03/2017,1000000,"Japan, Government of",Government: National government,Japan,2017,,,International Committee of the Red Cross,2017,Red Cross/Red Crescent: International Society,Yemen,,Water Sanitation Hygiene,Yes,21/08/2017,21/08/2017,,,financial,Standard,"Japan, Government of",,,
134535,Paid Contribution,13/06/2017,13/06/2017,1734071,"Japan, Government of",Government: National government,Japan,2017,,,Adventist Development and Relief Agency,2017,NGO: International,Yemen,,,Yes,21/08/2017,21/08/2017,,,financial,Standard,"Japan, Government of",,,
134536,Paid Contribution,15/06/2017,15/06/2017,742995,"Japan, Government of",Government: National government,Japan,2017,,,Save the Children,2017,NGO: International,Yemen,Education,Education,Yes,21/08/2017,21/08/2017,,,financial,Standard,"Japan, Government of",,,
134587,Paid Contribution,30/06/2017,,200341,UNICEF National Committee/Belgium,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/08/2017,23/08/2017,,,financial,Standard,United Nations Children's Fund,,,
134588,Paid Contribution,11/07/2017,,341297,UNICEF National Committee/France,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,23/08/2017,,,financial,Standard,United Nations Children's Fund,,,
134589,Paid Contribution,06/07/2017,,113766,UNICEF National Committee/Germany,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,25/08/2017,23/08/2017,,,financial,Standard,United Nations Children's Fund,,,
134596,Paid Contribution,14/08/2017,14/08/2017,423208,"Hungary, Government of",Government: National government,Hungary,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/09/2017,28/09/2017,,2017,financial,Standard,World Food Programme,,,
134600,Paid Contribution,01/09/2017,07/08/2017,4744583,"Denmark, Government of",Government: National government,Denmark,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,12/09/2017,08/09/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
134637,Paid Contribution,05/07/2017,,132974,UNICEF National Committee/Iceland,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,25/08/2017,,,financial,Standard,United Nations Children's Fund,,,
134660,Paid Contribution,30/06/2017,30/06/2017,10584,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/01/2018,28/08/2017,,,financial,Standard,United Nations Children's Fund,,,
134729,Paid Contribution,20/05/2017,20/05/2017,32573,"Estonia, Government of",Government: National government,Estonia,2017,,,World Food Programme,2017,UN agency,Yemen,,Food Security,Yes,12/09/2017,02/09/2017,,2017,financial,Standard,"Estonia, Government of",,,
134755,Paid Contribution,07/08/2017,07/08/2017,3100000,"United States of America, Government of",Government: National government,United States,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,,,Yes,21/12/2017,21/12/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
134756,Paid Contribution,07/08/2017,07/08/2017,3000000,"United States of America, Government of",Government: National government,United States,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Protection,Protection,Yes,21/12/2017,21/12/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
134794,Paid Contribution,09/08/2017,12/05/2017,750751,"New Zealand, Government of",Government: National government,New Zealand,2017,,,International Committee of the Red Cross,2017,Red Cross/Red Crescent: International Society,Yemen,,Food Security | Health | Water Sanitation Hygiene,Yes,05/09/2017,05/09/2017,,,financial,Standard,"New Zealand, Government of",,,
134936,Paid Contribution,25/09/2017,28/08/2017,2951594,"Germany, Government of",Government: National government,Germany,2017,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,30/10/2018,18/10/2018,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
135171,Paid Contribution,31/08/2017,31/08/2017,48300,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,,,Yes,17/10/2017,17/10/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135172,Paid Contribution,31/08/2017,31/08/2017,690003,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,,,Yes,17/10/2017,17/10/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135173,Paid Contribution,31/08/2017,31/08/2017,9946,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Multi-Sector,Multi-sector,Yes,15/09/2017,15/09/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135174,Paid Contribution,31/08/2017,31/08/2017,142079,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Multi-Sector,Multi-sector,Yes,15/09/2017,15/09/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135175,Paid Contribution,31/08/2017,31/08/2017,9028,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Protection,Protection,Yes,15/09/2017,15/09/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135176,Paid Contribution,31/08/2017,31/08/2017,128972,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Shelter/CCCM/NFIs,Emergency Shelter and NFI,Yes,21/12/2017,21/12/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135225,Paid Contribution,31/08/2017,13/09/2017,707726,"United Kingdom, Government of",Government: National government,United Kingdom,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,,,Yes,09/03/2018,19/09/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135226,Paid Contribution,31/08/2017,13/09/2017,725621,"United Kingdom, Government of",Government: National government,United Kingdom,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Protection,Protection,Yes,09/03/2018,17/10/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135227,Paid Contribution,04/09/2017,04/09/2017,15641,"United States of America, Government of",Government: National government,United States,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,19/09/2017,,,financial,Standard,United Nations Children's Fund,,,
135228,Paid Contribution,24/05/2017,24/05/2017,217155,UNICEF National Committee/Netherlands,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,19/09/2017,,,financial,Standard,United Nations Children's Fund,,,
135229,Paid Contribution,10/08/2017,10/08/2017,64519,UNICEF National Committee/Japan,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,19/09/2017,19/09/2017,,,financial,Standard,United Nations Children's Fund,,,
135230,Paid Contribution,21/06/2017,21/06/2017,167973,UNICEF National Committee/Germany,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,19/09/2017,19/09/2017,,,financial,Standard,United Nations Children's Fund,,,
135231,Paid Contribution,24/08/2017,24/08/2017,19366,UNICEF National Committee/Iceland,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,19/09/2017,,,financial,Standard,United Nations Children's Fund,,,
135232,Paid Contribution,31/08/2017,31/08/2017,244287,UNICEF National Committee/Australia,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,19/09/2017,,,financial,Standard,United Nations Children's Fund,,,
135233,Paid Contribution,29/08/2017,29/08/2017,10203,UNICEF National Committee/Canada,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,19/09/2017,19/09/2017,,,financial,Standard,United Nations Children's Fund,,,
135234,Paid Contribution,29/08/2017,29/08/2017,65434,UNICEF National Committee/France,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,19/09/2017,19/09/2017,,,financial,Standard,United Nations Children's Fund,,,
135235,Paid Contribution,06/09/2017,06/09/2017,300481,UNICEF National Committee/France,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,19/09/2017,19/09/2017,,,financial,Standard,United Nations Children's Fund,,,
135236,Paid Contribution,29/08/2017,29/08/2017,64935,UNICEF National Committee/United Kingdom,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,19/09/2017,19/09/2017,,,financial,Standard,United Nations Children's Fund,,,
135237,Paid Contribution,17/08/2017,17/08/2017,6000000,"United States of America, Government of",Government: National government,United States,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Education,Education,Yes,07/12/2017,19/09/2017,,,financial,Standard,"United States of America, Government of",,,
135267,Paid Contribution,31/08/2017,24/08/2017,28671429,"United Kingdom, Government of",Government: National government,United Kingdom,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,04/10/2017,04/10/2017,softly earmarked,,financial,Standard,"United Kingdom, Government of",,,
135280,Paid Contribution,31/07/2017,31/07/2017,772709,"Canada, Government of",Government: National government,Canada,2017,,,United Nations Population Fund,2017,UN agency,Yemen,Health | Protection,Health | Protection,Yes,15/02/2018,15/02/2018,,,financial,Standard,United Nations Population Fund,,,
135281,Paid Contribution,31/07/2017,31/07/2017,6800000,"Canada, Government of",Government: National government,Canada,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/09/2017,28/09/2017,,,financial,Standard,World Food Programme,,,
135394,Paid Contribution,28/09/2017,22/09/2017,5000000,"United States of America, Government of",Government: National government,United States,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,02/10/2017,30/09/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
135437,Paid Contribution,01/09/2017,01/09/2017,7500000,"United States of America, Government of",Government: National government,United States,2017,,,World Food Programme,2017,UN agency,Yemen,Emergency Telecommunications,Emergency Telecommunications,Yes,14/02/2018,14/02/2018,,,financial,Standard,World Food Programme,,,
135440,Paid Contribution,18/08/2017,18/08/2017,180587,"Czech Republic, Government of",Government: National government,Czech Republic,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/09/2017,28/09/2017,,,financial,Standard,World Food Programme,,,
135441,Paid Contribution,20/09/2017,20/09/2017,1000000,"Japan, Government of",Government: National government,Japan,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,27/03/2018,28/09/2017,,,financial,Standard,"Japan, Government of",,,
135442,Paid Contribution,17/08/2017,17/08/2017,56000000,"United States of America, Government of",Government: National government,United States,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/06/2018,28/09/2017,,,financial,Standard,"United States of America, Government of",,,
135443,Paid Contribution,19/07/2017,19/07/2017,10500000,"United States of America, Government of",Government: National government,United States,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/09/2017,28/09/2017,,,financial,Standard,World Food Programme,,,
135444,Paid Contribution,05/07/2017,05/07/2017,1000000,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/09/2017,28/09/2017,,,financial,Standard,World Food Programme,,,
135445,Paid Contribution,26/07/2017,26/07/2017,28643,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/09/2017,28/09/2017,,,financial,Standard,World Food Programme,,,
135446,Paid Contribution,10/08/2017,10/08/2017,393640,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/09/2017,28/09/2017,,,financial,Standard,World Food Programme,,,
135447,Paid Contribution,10/08/2017,10/08/2017,30000,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/09/2017,28/09/2017,,,financial,Standard,World Food Programme,,,
135448,Paid Contribution,10/08/2017,10/08/2017,128304,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/09/2017,28/09/2017,,,financial,Standard,World Food Programme,,,
135449,Paid Contribution,10/08/2017,10/08/2017,8271,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/09/2017,28/09/2017,,,financial,Standard,World Food Programme,,,
135450,Paid Contribution,01/05/2017,01/05/2017,278671,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,13/02/2018,31/10/2017,,,financial,Standard,World Food Programme,,,
135451,Paid Contribution,01/01/2017,01/01/2017,354710,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,13/02/2018,21/12/2017,,,financial,Standard,World Food Programme,,,
135452,Paid Contribution,13/07/2017,13/07/2017,15000000,,,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/09/2017,28/09/2017,,,financial,Standard,World Food Programme,,,
135453,Paid Contribution,13/07/2017,13/07/2017,63871285,,,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,31/10/2017,31/10/2017,,,financial,Standard,World Food Programme,,,
135456,Paid Contribution,14/11/2017,25/09/2017,25000,"Kuwait, Government of",Government: National government,Kuwait,2017,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,05/03/2018,03/03/2018,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
135464,Paid Contribution,30/08/2017,30/08/2017,43207,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Education,Yes,29/09/2017,29/09/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
135465,Paid Contribution,16/08/2017,16/08/2017,668,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,29/09/2017,29/09/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
135466,Paid Contribution,09/08/2017,09/08/2017,5373164,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,29/09/2017,29/09/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
135467,Paid Contribution,30/08/2017,30/08/2017,229402,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Education,Yes,29/09/2017,29/09/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
135468,Paid Contribution,30/08/2017,30/08/2017,49402,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,29/09/2017,29/09/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
135469,Paid Contribution,30/08/2017,30/08/2017,144379,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Emergency Shelter and NFI,Yes,29/09/2017,29/09/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
135470,Paid Contribution,30/08/2017,30/08/2017,19979,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Education,Yes,29/09/2017,29/09/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
135471,Paid Contribution,09/08/2017,09/08/2017,1847600,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,29/09/2017,29/09/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
135472,Paid Contribution,30/08/2017,30/08/2017,90906,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2017,,,Red Crescent Society of the United Arab Emirates,2017,Red Cross/Red Crescent: National Society,Yemen,,Emergency Shelter and NFI,Yes,29/09/2017,29/09/2017,,,financial,Standard,"United Arab Emirates, Government of",,,
135502,Paid Contribution,26/10/2017,26/09/2017,4847310,"Denmark, Government of",Government: National government,Denmark,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,31/10/2017,28/10/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
135541,Paid Contribution,02/10/2017,02/10/2017,4716981,"Germany, Government of",Government: National government,Germany,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,22/02/2019,21/02/2019,earmarked,2017,financial,Standard,"Germany, Government of",,,
135627,Paid Contribution,12/10/2017,29/09/2017,74487,"Denmark, Government of",Government: National government,Denmark,2017,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,16/10/2017,14/10/2017,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
135682,Paid Contribution,02/10/2017,02/10/2017,1179245,"Italy, Government of",Government: National government,Italy,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Health,Health,Yes,17/01/2018,17/01/2018,,2017,financial,Standard,United Nations Children's Fund,,,
135695,Paid Contribution,11/12/2017,29/09/2017,3000000,"United States of America, Government of",Government: National government,United States,2017,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,05/03/2018,03/03/2018,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
135702,Paid Contribution,11/10/2017,04/10/2017,922213,"Canada, Government of",Government: National government,Canada,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,13/10/2017,12/10/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
135834,Paid Contribution,07/09/2017,07/09/2017,1111043,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,Al-Baida Coalition for Relief and Humanitarian Actions,2017,NGO: National,Yemen,,Food Security,Yes,12/10/2017,12/10/2017,,,in kind,Standard,"Saudi Arabia (Kingdom of), Government of",,,
135835,Paid Contribution,14/07/2017,07/09/2017,642666,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,Al-Badyah Charitable Foundation,2017,Private organization/foundation: Local/National organization/foundation/individual,Yemen,,Food Security,Yes,12/10/2017,12/10/2017,,,in kind,Standard,"Saudi Arabia (Kingdom of), Government of",,,
135836,Paid Contribution,25/06/2017,07/09/2017,966666,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,Al-Badyah Charitable Foundation,2017,Private organization/foundation: Local/National organization/foundation/individual,Yemen,,Food Security,Yes,12/10/2017,12/10/2017,,,in kind,Standard,"Saudi Arabia (Kingdom of), Government of",,,
135868,Paid Contribution,23/11/2017,05/10/2017,671141,"United Kingdom, Government of",Government: National government,United Kingdom,2017,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,05/03/2018,03/03/2018,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
135968,Paid Contribution,06/09/2017,06/09/2017,3915427,"Australia, Government of",Government: National government,Australia,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,17/10/2017,17/10/2017,,2017,financial,Standard,"Australia, Government of",,,
135969,Paid Contribution,06/09/2017,06/09/2017,2305155,"Australia, Government of",Government: National government,Australia,2017,,,World Food Programme,2017,UN agency,Yemen,Food Security and Agriculture,Food Security,Yes,31/10/2017,31/10/2017,,2017,financial,Standard,World Food Programme,,,
135970,Paid Contribution,06/09/2017,06/09/2017,1566171,"Australia, Government of",Government: National government,Australia,2017,,,Save the Children,2017,NGO: International,Yemen,Nutrition | WASH,Nutrition | Water Sanitation Hygiene,Yes,17/10/2017,17/10/2017,,2017,financial,Standard,"Australia, Government of",,,
135987,Paid Contribution,06/08/2017,06/08/2017,629966,"United Kingdom, Government of",Government: National government,United Kingdom,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Protection,Protection,Yes,09/03/2018,21/12/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135988,Paid Contribution,06/08/2017,06/08/2017,202681,"United Kingdom, Government of",Government: National government,United Kingdom,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Protection,Protection,Yes,09/03/2018,21/12/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135997,Paid Contribution,11/09/2017,11/09/2017,56632,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Multi-Sector,Multi-sector,Yes,18/10/2017,18/10/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135998,Paid Contribution,30/08/2017,30/08/2017,156,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Protection,Protection,Yes,21/12/2017,21/12/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
135999,Paid Contribution,20/09/2017,20/09/2017,5000,"Holy See, Government of",Government: National government,Holy See (Vatican City State),2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,,,Yes,18/10/2017,18/10/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
136317,Paid Contribution,23/08/2017,,600000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Health,Yes,31/10/2017,31/10/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
136318,Paid Contribution,23/08/2017,,600000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Health,Yes,31/10/2017,31/10/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
136319,Paid Contribution,13/09/2017,,600000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Health,Yes,31/10/2017,31/10/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
136324,Paid Contribution,01/01/2017,01/01/2017,22495,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,31/10/2017,31/10/2017,,,financial,Standard,World Food Programme,,,
136325,Paid Contribution,01/01/2017,01/01/2017,5732,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,31/10/2017,31/10/2017,,,financial,Standard,World Food Programme,,,
136378,Paid Contribution,22/09/2017,22/09/2017,3231540,"Denmark, Government of",Government: National government,Denmark,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Protection,Protection,Yes,22/02/2018,17/01/2018,,2017,financial,Standard,United Nations Children's Fund,,,
136379,Paid Contribution,22/09/2017,22/09/2017,4847310,"Denmark, Government of",Government: National government,Denmark,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,02/11/2017,02/11/2017,,2017,financial,Standard,"Denmark, Government of",,,
136387,Paid Contribution,27/10/2017,27/10/2017,1768868,"Germany, Government of",Government: National government,Germany,2017,,,World Food Programme,2017,UN agency,Yemen,Logistics,Logistics,Yes,21/12/2017,21/12/2017,,2017,financial,Standard,World Food Programme,,,
136456,Paid Contribution,20/12/2016,20/12/2016,5420000,European Commission,Inter-governmental,,2017,,,Food & Agriculture Organization of the United Nations,2017,UN agency,Yemen,Food Security and Agriculture,Agriculture,Yes,21/11/2017,06/11/2017,,,financial,Standard,Food & Agriculture Organization of the United Nations,,,
136457,Paid Contribution,20/12/2016,20/12/2016,2040000,European Commission,Inter-governmental,,2017,,,Food & Agriculture Organization of the United Nations,2017,UN agency,Yemen,Food Security and Agriculture,Agriculture,Yes,21/11/2017,06/11/2017,,,financial,Standard,Food & Agriculture Organization of the United Nations,,,
