,Flow ID,Flow status,Flow date,Decision date,Amount (USD),Original amount,Description,Source Organization,Source Organization type,Source Emergency,Source Location,Source Project,Source Usage year,Source Plan,Source Field cluster,Source Sector,Destination Organization,DestOrgCode,Destination Usage year,DestoOrgCode,Destination Plan,Destination Organization type,Destination Emergency,Destination Location,Destination Project,Destination Field cluster,Destination Sector,Linked parent ID,Linked child ID,New money,Donor project code,Modality,Last updated,Created,Version ID,Earmarking,Budget year,Contribution type,Exchange rate,Original currency,Amount shared on boundary (USD),Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
135280,163950,Paid Contribution,31/07/2017,31/07/2017,772709,1000000,"SGBV, Reproductive health	In response to increasing needs; for 2017 appeal. (P002648)","Canada, Government of",Government: National government,,Canada,,2017,,,,United Nations Population Fund,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,Health | Protection,Health | Protection,,,Yes,,Traditional aid,15/02/2018,15/02/2018,2,,,financial,1.2941,Canadian Dollar,,Standard,United Nations Population Fund,,,
135281,163951,Paid Contribution,31/07/2017,31/07/2017,6800000,8500000,Food assistance In response to increasing needs; for 2017 appeal. (P005291),"Canada, Government of",Government: National government,,Canada,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10030805/CAN-C-00552-08,Traditional aid,28/09/2017,28/09/2017,2,,,financial,1.25,Canadian Dollar,,Standard,World Food Programme,,,
135394,164085,Paid Contribution,28/09/2017,22/09/2017,5000000,,Yemen OCT 5761 [OCT 5761],"United States of America, Government of",Government: National government,,United States,,2017,,,,Yemen Humanitarian Fund,,2017,,Yemen Humanitarian Response Plan 2017,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5761,Traditional aid,02/10/2017,30/09/2017,3,softly earmarked,,financial,,,,Standard,Office for the Coordination of Humanitarian Affairs,,,
135437,164209,Paid Contribution,01/09/2017,01/09/2017,7500000,,Logistics & Emergency Telecommunications Augmentation and Coordination to Support Humanitarian Operations in Yemen (SO 200841) (USAID/OFDA),"United States of America, Government of",Government: National government,,United States,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/CSS/104696/561,Emergency Telecommunications,Emergency Telecommunications,,,Yes,,Traditional aid,14/02/2018,14/02/2018,2,,,financial,,,,Standard,World Food Programme,,,
135440,164212,Paid Contribution,18/08/2017,18/08/2017,180587,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen","Czech Republic, Government of",Government: National government,,Czech Republic,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10030973/CZE-C-00024-01,Traditional aid,28/09/2017,28/09/2017,1,,,financial,,,,Standard,World Food Programme,,,
135441,164214,Paid Contribution,20/09/2017,20/09/2017,1000000,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen","Japan, Government of",Government: National government,,Japan,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10031039/JPN-C-00588-01,Traditional aid,27/03/2018,28/09/2017,1,,,financial,,,,Standard,"Japan, Government of",,,
135442,164215,Paid Contribution,17/08/2017,17/08/2017,56000000,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen (USAID/FFP)","United States of America, Government of",Government: National government,,United States,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10030480/USA-C-01331-01,Traditional aid,28/06/2018,28/09/2017,1,,,financial,,,,Standard,"United States of America, Government of",,,
135443,164216,Paid Contribution,19/07/2017,19/07/2017,10500000,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen","United States of America, Government of",Government: National government,,United States,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10030663/USA-C-01301-03,Traditional aid,28/09/2017,28/09/2017,1,,,financial,,,,Standard,World Food Programme,,,
135444,164217,Paid Contribution,05/07/2017,05/07/2017,1000000,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen",Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10030599/WPD-C-04053-01,Traditional aid,28/09/2017,28/09/2017,1,,,financial,,,,Standard,World Food Programme,,,
135445,164218,Paid Contribution,26/07/2017,26/07/2017,28643,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen",Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10030730/WPD-C-04081-01,Traditional aid,28/09/2017,28/09/2017,1,,,financial,,,,Standard,World Food Programme,,,
135446,164219,Paid Contribution,10/08/2017,10/08/2017,393640,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen",Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10030873/WPD-C-04097-01,Traditional aid,28/09/2017,28/09/2017,1,,,financial,,,,Standard,World Food Programme,,,
135447,164220,Paid Contribution,10/08/2017,10/08/2017,30000,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen",Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10030876/WPD-C-04099-01,Traditional aid,28/09/2017,28/09/2017,1,,,financial,,,,Standard,World Food Programme,,,
135448,164221,Paid Contribution,10/08/2017,10/08/2017,128304,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen",Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10030889/WPD-C-04103-03,Traditional aid,28/09/2017,28/09/2017,1,,,financial,,,,Standard,World Food Programme,,,
135449,164222,Paid Contribution,10/08/2017,10/08/2017,8271,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen",Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10030894/WPD-C-04107-01,Traditional aid,28/09/2017,28/09/2017,1,,,financial,,,,Standard,World Food Programme,,,
135450,164223,Paid Contribution,01/05/2017,01/05/2017,278671,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen",Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,,Traditional aid,13/02/2018,31/10/2017,2,,,financial,,,,Standard,World Food Programme,,,
135451,164224,Paid Contribution,01/01/2017,01/01/2017,354710,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen",Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,,Traditional aid,13/02/2018,21/12/2017,2,,,financial,,,,Standard,World Food Programme,,,
135452,164225,Paid Contribution,13/07/2017,13/07/2017,15000000,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen (UN Other Funds and Agencies (excl. CERF)",,,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10030535/001-C-01627-01,Traditional aid,28/09/2017,28/09/2017,1,,,financial,,,,Standard,World Food Programme,,,
135453,164226,Paid Contribution,13/07/2017,13/07/2017,63871285,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen (STOCK TRANSFER)",,,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,,Traditional aid,31/10/2017,31/10/2017,2,,,financial,,,,Standard,World Food Programme,,,
135456,164231,Paid Contribution,14/11/2017,25/09/2017,25000,,Yemen - OCHA Office  OCT 5727 [OCT 5727];[NA],"Kuwait, Government of",Government: National government,,Kuwait,,2017,,,,Office for the Coordination of Humanitarian Affairs,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/CSS/107486/119,Coordination and Safety,Coordination and support services,,,Yes,[OCT 5727];[NA],Traditional aid,05/03/2018,03/03/2018,4,,,financial,,,,Standard,Office for the Coordination of Humanitarian Affairs,,,
135464,164245,Paid Contribution,30/08/2017,30/08/2017,43207,158699,"Providing study kits (1380 boxes of notebook with pen ,132 boxes of wallet ,115 boxes of bags of stationery, 73 boxes of blackboards children) in the provinces of Hadramout / Marib / Maher","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,,,Yes,YEM-2017-082,Traditional aid,29/09/2017,29/09/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
135465,164246,Paid Contribution,16/08/2017,16/08/2017,668,2463,Health services by providing therapeutic treatment.,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2017-084,Traditional aid,29/09/2017,29/09/2017,1,,,financial,3.6871,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
135466,164247,Paid Contribution,09/08/2017,09/08/2017,5373164,19735633,Provision of 18000 baskets of food (rice 1000 bags + 3000 cartons of oil + flour 13 tons + sugar 2.2 tons + dates 26.56 tons) in the provinces of Hadramout / Marib / Maher,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,YEM-2017-085,Traditional aid,29/09/2017,29/09/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
135467,164248,Paid Contribution,30/08/2017,30/08/2017,229402,842593,"Rehabilitation and Maintenance (Azzan School for Boys, High School Arwa for Girls, High School Hanihan for Boys, Azzan School for Essential and Elementary for Boys, , Alarbh School, Hafsa basic education, Azzan School for Girls) in the provinces of Hadramout / Marib / skilled","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,,,Yes,YEM-2017-086,Traditional aid,29/09/2017,29/09/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
135468,164249,Paid Contribution,30/08/2017,30/08/2017,49402,181454,Rehabilitation and maintenance of ounak Hospital,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2017-087,Traditional aid,29/09/2017,29/09/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
135469,164250,Paid Contribution,30/08/2017,30/08/2017,144379,530304,"Providing a variety of relief items (men's galabies 280 cartons, children's toys 85 cartons, women's cover head 60, children's galabiat 36 cartons, children's blankets 12 cartons)  in the provinces of Hadramout / Marib / Maher","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Emergency Shelter and NFI,,,Yes,YEM-2017-088,Traditional aid,29/09/2017,29/09/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
135470,164251,Paid Contribution,30/08/2017,30/08/2017,19979,73382,"Providing study kits (860 boxes of notebook with ,68 boxes of bags of stationery, 45 boxes of blackboards children)  in the provinces of Aden / Abyan / Dali / Lahj / Taiz / Shabwa","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,,,Yes,YEM-2017-089,Traditional aid,29/09/2017,29/09/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
135471,164252,Paid Contribution,09/08/2017,09/08/2017,1847600,6786233,Provision of 30000 baskets of food (rice 4370 bags + 4370 cartons of oil + flour 25 tons + sugar 14.65 tons + dates 5.6 tons) in the provinces of Aden / Abyan / Dali / Lahj / Taiz / Shabwa,"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,YEM-2017-090,Traditional aid,29/09/2017,29/09/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
135472,164253,Paid Contribution,30/08/2017,30/08/2017,90906,333897,"Providing a variety of relief items (men's galabies 170 cartons, children's toys 50 cartons, women's cover head 30, children's galabiat 18 cartons, children's blankets 68 cartons, 80 boxes of wallets)  in the provinces of Aden / Abyan / Dali / Lahj / Taiz / Shabwa","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Emergency Shelter and NFI,,,Yes,YEM-2017-091,Traditional aid,29/09/2017,29/09/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
135502,164283,Paid Contribution,26/10/2017,26/09/2017,4847310,30000000,Yemen - CBPF. [OCT 5779],"Denmark, Government of",Government: National government,,Denmark,,2017,,,,Yemen Humanitarian Fund,,2017,,Yemen Humanitarian Response Plan 2017,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5779,Traditional aid,31/10/2017,28/10/2017,3,softly earmarked,,financial,6.189,Danish Krone,,Standard,Office for the Coordination of Humanitarian Affairs,,,
135541,164356,Paid Contribution,02/10/2017,02/10/2017,4716981,4000000,"In line with this approach, school feeding and nutrition activities are aimed at addressing chronic malnutrition. Both these activities, school feeding and nutrition, target those groups that, provided with adequate assistance, will ensure a long-term investment in future generations (part of 2017.1873.3)","Germany, Government of",Government: National government,,Germany,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,2017.1873.3 / 10030711/GER-C-00688-01; 10030712/GER-C-00688-02,Traditional aid,22/02/2019,21/02/2019,3,earmarked,2017,financial,0.848,European Euro,,Standard,"Germany, Government of",,,
135627,164445,Paid Contribution,12/10/2017,29/09/2017,74487,461000,Yemen - OCHA Office [OCT 5762];[2017-37348],"Denmark, Government of",Government: National government,,Denmark,,2017,,,,Office for the Coordination of Humanitarian Affairs,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/CSS/107486/119,Coordination and Safety,Coordination and support services,,,Yes,[OCT 5762];[2017-37348],Traditional aid,16/10/2017,14/10/2017,3,,,financial,6.189,Danish Krone,,Standard,Office for the Coordination of Humanitarian Affairs,,,
135682,164524,Paid Contribution,02/10/2017,02/10/2017,1179245,1000000,Support to the UNICEF project called Provision of life saving and preventive interventions for cholera and malnutrition crises in priority areas of Yemen. The programme aims to address the deteriorating situation of malnutrition by addressing both the prevention and treatment of Severe Acute Malnutrition (SAM) as well as better integration of cholera response and nutrition services.(SM170497),"Italy, Government of",Government: National government,,Italy,,2017,,,,United Nations Children's Fund,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/H/112755/R/124,Health,Health,,,Yes,SM170497,Traditional aid,17/01/2018,17/01/2018,2,,2017,financial,0.848,European Euro,,Standard,United Nations Children's Fund,,,
135695,164539,Paid Contribution,11/12/2017,29/09/2017,3000000,,Yemen - OCHA Office   [OCT 5708];[AID-OFDA-IO-17-00029],"United States of America, Government of",Government: National government,,United States,,2017,,,,Office for the Coordination of Humanitarian Affairs,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/CSS/107486/119,Coordination and Safety,Coordination and support services,,,Yes,[OCT 5708];[AID-OFDA-IO-17-00029],Traditional aid,05/03/2018,03/03/2018,4,,,financial,,,,Standard,Office for the Coordination of Humanitarian Affairs,,,
135702,164546,Paid Contribution,11/10/2017,04/10/2017,922213,1150000,Yemen - CBPF.  [OCT 5789],"Canada, Government of",Government: National government,,Canada,,2017,,,,Yemen Humanitarian Fund,,2017,,Yemen Humanitarian Response Plan 2017,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5789,Traditional aid,13/10/2017,12/10/2017,2,softly earmarked,,financial,1.247,Canadian Dollar,,Standard,Office for the Coordination of Humanitarian Affairs,,,
135834,164772,Paid Contribution,07/09/2017,07/09/2017,1111043,4166411,"In-Kind: provision of 17,174 food parcels to 103,044 beneficiaries in Baidah","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2017,,,,Al-Baida Coalition for Relief and Humanitarian Actions,,2017,,,NGO: National,,Yemen,,,Food Security,,,Yes,213,Traditional aid,12/10/2017,12/10/2017,1,,,in kind,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
135835,164773,Paid Contribution,14/07/2017,07/09/2017,642666,2409998,"In-Kind: provision of 10,000 food parcels to 60,000 beneficiaries in Lahij","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2017,,,,Al-Badyah Charitable Foundation,,2017,,,Private organization/foundation: Local/National organization/foundation/individual,,Yemen,,,Food Security,,,Yes,215,Traditional aid,12/10/2017,12/10/2017,1,,,in kind,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
135836,164774,Paid Contribution,25/06/2017,07/09/2017,966666,3624998,"In-Kind:provision of 16,000 food parcels to 96,000 beneficiaries Lahij and Ta'izz","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2017,,,,Al-Badyah Charitable Foundation,,2017,,,Private organization/foundation: Local/National organization/foundation/individual,,Yemen,,,Food Security,,,Yes,220,Traditional aid,12/10/2017,12/10/2017,1,,,in kind,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
135868,164825,Paid Contribution,23/11/2017,05/10/2017,671141,500000,Yemen - OCHA Office [OCT 5751];[300417-101],"United Kingdom, Government of",Government: National government,,United Kingdom,,2017,,,,Office for the Coordination of Humanitarian Affairs,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/CSS/107486/119,Coordination and Safety,Coordination and support services,,,Yes,[OCT 5751];[300417-101],Traditional aid,05/03/2018,03/03/2018,3,,,financial,0.745,Pound Sterling,,Standard,Office for the Coordination of Humanitarian Affairs,,,
135968,164945,Paid Contribution,06/09/2017,06/09/2017,3915427,5000000,"Health care and clean water, particularly focused on women and children including vaccinations and nutritional support","Australia, Government of",Government: National government,,Australia,,2017,,,,United Nations Children's Fund,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,,Traditional aid,17/10/2017,17/10/2017,1,,2017,financial,1.277,,,Standard,"Australia, Government of",,,
135969,164946,Paid Contribution,06/09/2017,06/09/2017,2305155,3000000,"To provide cash, vouchers and food to help people meet basic daily food needs across Yemen","Australia, Government of",Government: National government,,Australia,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/F/104980/561,Food Security and Agriculture,Food Security,,,Yes,10030915/AUL-C-00265-04; 10031114/AUL-C-00268-01,Traditional aid,31/10/2017,31/10/2017,2,,2017,financial,1.3014,Australian Dollar,,Standard,World Food Programme,,,
135970,164947,Paid Contribution,06/09/2017,06/09/2017,1566171,2000000,"To provide clean water, increased awareness of cholera prevention and nutrition","Australia, Government of",Government: National government,,Australia,,2017,,,,Save the Children,,2017,,Yemen Humanitarian Response Plan 2017,NGO: International,,Yemen,,Nutrition | WASH,Nutrition | Water Sanitation Hygiene,,,Yes,,Traditional aid,17/10/2017,17/10/2017,1,,2017,financial,1.277,Australian Dollar,,Standard,"Australia, Government of",,,
135987,164965,Paid Contribution,06/08/2017,06/08/2017,629966,,Multi-Sector Project: Protection Activities for IDPs,"United Kingdom, Government of",Government: National government,,United Kingdom,,2017,,,,United Nations High Commissioner for Refugees,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/P-HR-RL/105201/R/120,Protection,Protection,,,Yes,,Traditional aid,09/03/2018,21/12/2017,2,,,financial,,,,Standard,United Nations High Commissioner for Refugees,,,
135988,164966,Paid Contribution,06/08/2017,06/08/2017,202681,,Multi-Sector Project: Protection Activities for IDPs,"United Kingdom, Government of",Government: National government,,United Kingdom,,2017,,,,United Nations High Commissioner for Refugees,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/P-HR-RL/105201/R/120,Protection,Protection,,,Yes,,Traditional aid,09/03/2018,21/12/2017,2,,,financial,,,,Standard,United Nations High Commissioner for Refugees,,,
135997,164984,Paid Contribution,11/09/2017,11/09/2017,56632,,Multi Sector Assistance and Services to Refugees,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,United Nations High Commissioner for Refugees,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/MS/109405/R/120,Multi-Sector,Multi-sector,,,Yes,,Traditional aid,18/10/2017,18/10/2017,1,,,financial,,,,Standard,United Nations High Commissioner for Refugees,,,
135998,164985,Paid Contribution,30/08/2017,30/08/2017,156,,Multi-Sector Project: Protection Activities for IDPs,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,United Nations High Commissioner for Refugees,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/P-HR-RL/105201/R/120,Protection,Protection,,,Yes,,Traditional aid,21/12/2017,21/12/2017,2,,,financial,,,,Standard,United Nations High Commissioner for Refugees,,,
135999,164986,Paid Contribution,20/09/2017,20/09/2017,5000,,Humanitarian Response Plan for Yemen,"Holy See, Government of",Government: National government,,Holy See (Vatican City State),,2017,,,,United Nations High Commissioner for Refugees,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,,Traditional aid,18/10/2017,18/10/2017,1,,,financial,,,,Standard,United Nations High Commissioner for Refugees,,,
136317,165419,Paid Contribution,23/08/2017,,600000,2250000,"Provision of medical treatment, health care and medication for Yemeni people suffering from major injuries in Ta'izz governerate through Yemeni Ministry of Public Health and Population / Al Brayhi hospital.","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2017,,,,"Yemen, Government of",,2017,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,31/10/2017,31/10/2017,1,,,financial,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
136318,165420,Paid Contribution,23/08/2017,,600000,2250000,"Provision of medical treatment, health care and medication for  Yemeni people suffering from major injuries in Aden governerate through Yemeni Ministry of Public Health and Population / Al Brayhi hospital.","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2017,,,,"Yemen, Government of",,2017,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,31/10/2017,31/10/2017,1,,,financial,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
136319,165421,Paid Contribution,13/09/2017,,600000,2250000,"Provision of medical treatment, health care and medication for  Yemeni people suffering from major injuries in Aden governerate throughYemeni Ministry of Public Health and Population/ Al Safowah hospital - Taiz","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2017,,,,"Yemen, Government of",,2017,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,31/10/2017,31/10/2017,1,,,financial,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
136324,165434,Paid Contribution,01/01/2017,01/01/2017,22495,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen",Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10031104/WPD-C-04155-01,Traditional aid,31/10/2017,31/10/2017,1,,,financial,,,,Standard,World Food Programme,,,
136325,165435,Paid Contribution,01/01/2017,01/01/2017,5732,,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen",Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10031109/WPD-C-04160-01,Traditional aid,31/10/2017,31/10/2017,1,,,financial,,,,Standard,World Food Programme,,,
136378,165510,Paid Contribution,22/09/2017,22/09/2017,3231540,20000000,"UNICEF's humanitarian effort in Yemen, 2017 Yemen Humanitarian Response Plan (SM1499101544)","Denmark, Government of",Government: National government,,Denmark,,2017,,,,United Nations Children's Fund,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/P-HR-RL/105051/124,Protection,Protection,,,Yes,SM1499101544,Traditional aid,22/02/2018,17/01/2018,2,,2017,financial,6.189,Danish Krone,,Standard,United Nations Children's Fund,,,
136379,165511,Paid Contribution,22/09/2017,22/09/2017,4847310,30000000,"Immediate, Integrated and Sustained Response to Avert Famine  in Yemen","Denmark, Government of",Government: National government,,Denmark,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,,,,,,Yes,10031045/DEN-C-00211-01,Traditional aid,02/11/2017,02/11/2017,1,,2017,financial,6.189,Danish Krone,,Standard,"Denmark, Government of",,,
136387,165521,Paid Contribution,27/10/2017,27/10/2017,1768868,1500000,Logistics & Emergency Telecommunications Augmentation and Coordination to Support Humanitarian Operations in Yemen,"Germany, Government of",Government: National government,,Germany,,2017,,,,World Food Programme,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/CSS/105187/561,Logistics,Logistics,,,Yes,10030234/GER-C-00694-01,Traditional aid,21/12/2017,21/12/2017,2,,2017,financial,0.848,European Euro,,Standard,World Food Programme,,,
136456,165611,Paid Contribution,20/12/2016,20/12/2016,5420000,,Enhancing Yemen's Food Security Information Systems and Rural Livelihoods Programme (European Commission EDF),European Commission,Inter-governmental,,,,2017,,,,Food & Agriculture Organization of the United Nations,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/A/105308/123,Food Security and Agriculture,Agriculture,,,Yes,,Traditional aid,21/11/2017,06/11/2017,1,,,financial,,,,Standard,Food & Agriculture Organization of the United Nations,,,
136457,165612,Paid Contribution,20/12/2016,20/12/2016,2040000,,Enhancing Yemen's Food Security Information Systems and Rural Livelihoods Programme (European Commission EDF),European Commission,Inter-governmental,,,,2017,,,,Food & Agriculture Organization of the United Nations,,2017,,Yemen Humanitarian Response Plan 2017,UN agency,,Yemen,YEM-17/A/105789/123,Food Security and Agriculture,Agriculture,,,Yes,,Traditional aid,21/11/2017,06/11/2017,1,,,financial,,,,Standard,Food & Agriculture Organization of the United Nations,,,
136515,165676,Paid Contribution,09/10/2017,,1460490,5364380,"Providing medicine for Shabwa (108) tons, and medicines (solutions) for kidney centers - Ataq - Ezzan - Bihan","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2017,,,,Red Crescent Society of the United Arab Emirates,,2017,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2017-094,Traditional aid,07/11/2017,07/11/2017,1,,,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
